datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,Profit
2011-01-01 00:00:00,Spring,0.0,0.0,Clear,9.84,81.0,,3,13,16,107.32876712328768
2011-01-01 01:00:00,Spring,0.0,0.0,,9.02,80.0,0.0,8,32,40,275.02876712328765
2011-01-01 02:00:00,Spring,0.0,0.0,Clear,9.02,,0.0,5,27,32,201.92876712328766
2011-01-01 03:00:00,Spring,0.0,0.0,Clear,9.84,75.0,0.0,3,10,13,94.42876712328767
2011-01-01 04:00:00,,0.0,0.0,Clear,,75.0,,0,1,1,4.1287671232876715
2011-01-01 05:00:00,,0.0,,Mist,9.84,,6.0032,0,1,1,4.1287671232876715
2011-01-01 06:00:00,Spring,0.0,0.0,Clear,,,0.0,2,0,2,34.22876712328767
2011-01-01 07:00:00,Spring,0.0,0.0,Clear,8.2,,,1,2,3,25.628767123287673
2011-01-01 08:00:00,Spring,0.0,0.0,,9.84,,0.0,1,7,8,47.128767123287666
2011-01-01 09:00:00,Spring,0.0,0.0,Clear,,76.0,0.0,8,6,14,163.22876712328767
2011-01-01 10:00:00,Spring,0.0,0.0,Clear,15.58,76.0,,12,24,36,309.4287671232877
2011-01-01 11:00:00,Spring,,0.0,Clear,14.76,81.0,19.0012,26,30,56,576.0287671232877
2011-01-01 12:00:00,Spring,0.0,,Clear,,77.0,19.0012,29,55,84,735.1287671232876
2011-01-01 13:00:00,Spring,0.0,0.0,Mist,18.86,,,47,47,94,1010.3287671232877
2011-01-01 14:00:00,Spring,0.0,0.0,Mist,18.86,72.0,19.0012,35,71,106,907.1287671232876
2011-01-01 15:00:00,Spring,0.0,0.0,Mist,18.04,77.0,19.9995,40,70,110,988.8287671232877
2011-01-01 16:00:00,Spring,0.0,0.0,Mist,17.22,82.0,19.9995,41,52,93,928.6287671232876
2011-01-01 17:00:00,Spring,,,Mist,18.04,82.0,19.0012,15,52,67,481.4287671232877
2011-01-01 18:00:00,Spring,,0.0,Rainy,17.22,88.0,16.9979,9,26,35,266.4287671232877
2011-01-01 19:00:00,Spring,0.0,0.0,Rainy,17.22,,16.9979,6,31,37,236.32876712328766
2011-01-01 20:00:00,Spring,0.0,0.0,Mist,16.4,,16.9979,11,25,36,296.52876712328765
2011-01-01 21:00:00,Spring,0.0,0.0,Mist,,87.0,12.998,3,31,34,184.72876712328767
2011-01-01 22:00:00,Spring,0.0,0.0,Mist,16.4,,,11,17,28,262.1287671232877
2011-01-01 23:00:00,Spring,0.0,0.0,Mist,,,,15,24,39,361.02876712328765
2011-01-02 00:00:00,Spring,0.0,,Mist,18.86,88.0,19.9995,4,13,17,124.52876712328768
2011-01-02 01:00:00,Spring,0.0,0.0,Mist,18.04,,,1,16,17,85.82876712328768
2011-01-02 02:00:00,Spring,0.0,0.0,Mist,17.22,100.0,19.0012,1,8,9,51.42876712328767
